,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Runnymede Street,Leanne,Dawson,47,Head,Single,Female,Firefighter,None,Jewish
1,1,Runnymede Street,Denise,Morris,53,Cousin,Divorced,Female,Aeronautical engineer,None,Jewish
2,2,Runnymede Street,Debra,Duffy,87,Head,Married,Female,Retired Barrister,None,Christian
3,2,Runnymede Street,Malcolm,Duffy,83,Husband,Married,Male,Retired Advertising art director,None,None
4,3,Runnymede Street,Teresa,Morley,87,Head,Widowed,F,Retired Intelligence analyst,None,Christian
5,4,Runnymede Street,Beverley,Holmes,80,Head,Widowed,Female,Retired Training and development officer,None,Methodist
6,5,Runnymede Street,Shirley,Pugh,15,Head,Single,Female,Unemployed,None,NA
7,5,Runnymede Street,Maureen,Pugh,0,Daughter,NA,f,Child,None,NA
8,6,Runnymede Street,Irene,Taylor,42,Head,Single,Female,Adult guidance worker,None,Christian
9,6,Runnymede Street,Charlotte,Taylor,15,Daughter,NA,Female,Student,None,NA
10,7,Runnymede Street,Bethan,Howells,49,Head,Married,Female,English as a second language teacher,None,Catholic
11,7,Runnymede Street,Graeme,Howells,51,Husband,Married,Male,Dentist,None,None
12,7,Runnymede Street,Lewis,Howells,16,Son,NA,Male,Student,None,NA
13,8,Runnymede Street,Jade,Begum,69,Head,Widowed,Female,Retired Recruitment consultant,None,Catholic
14,9,Runnymede Street,Paige,Harris,44,Head,Married,female,Sub,None,Christian
15,9,Runnymede Street,Charles,Harris,48,Husband,Married,Male,Data scientist,None,Christian
16,9,Runnymede Street,Debra,Harris,15,Daughter,NA,Female,Student,None,NA
17,10,Runnymede Street,Julian,Slater,53,Head,Married,Male,"Engineer, energy",None,Christian
18,10,Runnymede Street,Lindsey,Slater,53,Wife,Married,Female,Marketing executive,None,Christian
19,11,Runnymede Street,Ann,Stephenson,55,Head,Divorced,Female,Ceramics designer,None,None
20,11,Runnymede Street,Francesca,Stephenson,30,Daughter,Single,Female,"Editor, film/video",None,None
21,12,Runnymede Street,Bradley,Reed,70,Head,Divorced,Male,Retired Chiropractor,None,Christian
22,13,Runnymede Street,Geraldine,Thompson,32,Head,Single,Female,"Producer, television/film/video",None,None
23,14,Runnymede Street,Janice,Williams-Walker,35,Head,Married,Female,Pharmacologist,None,Catholic
24,14,Runnymede Street,Lee,Williams-Walker,40,Husband,Married,Male,Unemployed,None,None
25,15,Runnymede Street,Frederick,Morgan,69,Head,Widowed,Male,Retired Minerals surveyor,None,None
26,16,Runnymede Street,Sophie,Dyer,34,Head,Divorced,Female,Research scientist (physical sciences),None,None
27,17,Runnymede Street,Patrick,Simpson,65,Head,Widowed,Male,Social worker,None,None
28,18,Runnymede Street,Rachael,Evans,33,Head,Single,Female,"Scientist, research (physical sciences)",None,None
29,19,Runnymede Street,Christine,Palmer,55,Head,Married,Female,Archaeologist,None,Christian
30,19,Runnymede Street,Billy,Palmer,50,Husband,Married,Male,Financial adviser,None,Christian
31,20,Runnymede Street,Craig,Gill,28,Head,Single,Male,Arts administrator,None,None
32,20,Runnymede Street,Tony,Gill,1,Son,NA,Male,Child,None,NA
